,Overall Accuracy per Round,Precision,Recall,F1
Round 1 Loss,0.6645,0.62,0.54,0.58
Round 1 Win,0.6645,0.69,0.76,0.72
Round 2 Loss,0.5977,0.65,0.61,0.63
Round 2 Win,0.5977,0.54,0.58,0.56
Round 3 Loss,0.5122,0.57,0.52,0.55
Round 3 Win,0.5122,0.45,0.50,0.47
Round 4 Loss,0.4286,0.43,0.60,0.50
Round 4 Win,0.4286,0.43,0.27,0.33
Round 5 Loss,0.6000,0.50,0.75,0.60
Round 5 Win,0.6000,0.75,0.50,0.60
Round 6 Loss,0.3333,1.00,0.20,0.33
Round 6 Win,0.3333,0.20,1.00,0.33
