,RandomForestClassifier,Logistic Regression
Round 1,0.6645,0.63905
Round 2,0.5977,0.61458
Round 3,0.5122,0.66666
Round 4,0.4286,0.43478
Round 5,0.6000,0.54545
Round 6,0.3333,0.0
