Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
312,A&M-Corpus Christi (Southland),30,6-24,"1,755",58.5,"2,030",67.7,-9.2
201,Air Force (Mountain West),29,13-16,"1,786",61.6,"1,798",62,-0.4
65,Akron (MAC),34,22-12,"2,456",72.2,"2,241",65.9,6.3
298,Alabama A&M (SWAC),28,7-21,"1,764",63,"1,964",70.1,-7.1
277,Alabama St. (SWAC),31,12-19,"1,840",59.4,"1,995",64.4,-5
62,Alabama (SEC),33,21-12,"2,135",64.7,"1,918",58.1,6.6
126,Albany (NY) (America East),34,19-15,"2,453",72.1,"2,351",69.1,3
284,Alcorn (SWAC),32,10-22,"2,002",62.6,"2,187",68.3,-5.8
143,American (Patriot),32,20-12,"2,059",64.3,"1,991",62.2,2.1
223,App State (SoCon),31,13-18,"2,121",68.4,"2,175",70.2,-1.7
279,Arizona St. (Pac-12),31,10-21,"1,891",61,"2,056",66.3,-5.3
67,Arizona (Pac-12),35,23-12,"2,416",69,"2,196",62.7,6.3
306,Ark.-Pine Bluff (SWAC),33,11-22,"2,013",61,"2,291",69.4,-8.4
213,Arkansas St. (Sun Belt),34,14-20,"2,198",64.6,"2,239",65.9,-1.2
143,Arkansas (SEC),32,18-14,"2,299",71.8,"2,231",69.7,2.1
233,Army West Point (Patriot),30,12-18,"2,027",67.6,"2,091",69.7,-2.1
217,Auburn (SEC),31,15-16,"1,942",62.6,"1,983",64,-1.3
256,Austin Peay (OVC),32,12-20,"2,216",69.3,"2,324",72.6,-3.4
138,Ball St. (MAC),30,15-15,"1,901",63.4,"1,822",60.7,2.6
33,Baylor (Big 12),38,30-8,"2,839",74.7,"2,483",65.3,9.4
7,Belmont (ASUN),35,27-8,"2,831",80.9,"2,363",67.5,13.4
214,Bethune-Cookman (MEAC),35,18-17,"2,276",65,"2,319",66.3,-1.2
334,Binghamton (America East),31,2-29,"1,762",56.8,"2,193",70.7,-13.9
146,Boise St. (Mountain West),30,13-17,"2,050",68.3,"1,988",66.3,2.1
314,Boston College (ACC),31,9-22,"1,833",59.1,"2,125",68.5,-9.4
181,Boston U. (America East),32,16-16,"2,045",63.9,"2,034",63.6,0.3
141,Bowling Green (MAC),32,16-16,"2,125",66.4,"2,046",63.9,2.5
313,Bradley (MVC),32,7-25,"1,955",61.1,"2,256",70.5,-9.4
304,Brown (Ivy League),31,8-23,"1,907",61.5,"2,154",69.5,-8
